joined_count,category,keyword,doc count,category count,keyword count,PMI
68,aut,Vrchlabí,4369432,31633,660,14.2314640732875
84,aut,veteráni,4369432,31633,817,14.2017490140229
31,aut,kartel,4369432,31633,329,13.0151866144941
1082,aut,Korea,4369432,31633,11695,12.779434554757
2270,aut,Japonsko,4369432,31633,25580,12.2577263226092
29,aut,DaimlerChrysler,4369432,31633,341,11.7470339124859
61,aut,studie,4369432,31633,727,11.5899090458483
61,aut,Vysoké Mýto,4369432,31633,781,10.7885581002966
31,aut,SAP,4369432,31633,411,10.4184827157386
321,aut,říjen,4369432,31633,4489,9.87734061878935
18,aut,IPO,4369432,31633,254,9.788663338968
77,aut,emise,4369432,31633,1103,9.64272577735147
1624,aut,krize,4369432,31633,23517,9.53868944137561
33,aut,Jahn,4369432,31633,484,9.41788063673437
510,aut,výhled,4369432,31633,7512,9.37776186937873
28,aut,Veletrhy Brno,4369432,31633,418,9.25265466065131
677,aut,pololetí,4369432,31633,10587,8.83283991080392
331,aut,leden,4369432,31633,5190,8.80937788011556
25,aut,MD,4369432,31633,392,8.8092420921835
292,aut,srpen,4369432,31633,4619,8.73211592846671
282,aut,duben,4369432,31633,4474,8.70638227839368
290,aut,listopad,4369432,31633,4604,8.7005616076405
32,aut,plasty,4369432,31633,509,8.68393970957563
281,aut,únor,4369432,31633,4562,8.50815988547302
733,aut,1.čtvrtletí,4369432,31633,12026,8.41913316414315
276,aut,květen,4369432,31633,4545,8.38802658250841
288,aut,červenec,4369432,31633,4750,8.3749742756981
6859,aut,Německo,4369432,31633,113132,8.37452033802368
612,aut,hobby,4369432,31633,10137,8.33924204353632
280,aut,září,4369432,31633,4684,8.25706585856585
19,aut,bankrot,4369432,31633,318,8.25298554749469
30,aut,Ťok,4369432,31633,535,7.74554669189368
111,aut,1. čtvrtletí,4369432,31633,1984,7.72797866764292
237,aut,2013,4369432,31633,4448,7.35983657672856
245,aut,2015,4369432,31633,4744,7.13355489488452
90,aut,trendy,4369432,31633,1788,6.95279778550859
574,aut,3.čtvrtletí,4369432,31633,11504,6.89203735979842
241,aut,2011,4369432,31633,4937,6.74277268732234
284,aut,2010,4369432,31633,5881,6.67039825634147
348,aut,2.čtvrtletí,4369432,31633,7476,6.42975692481169
1954,aut,ekologie,4369432,31633,42500,6.35068004410881
775,aut,odbory,4369432,31633,16975,6.30632753485797
215,aut,2014,4369432,31633,4730,6.27858709115624
16,aut,PwC,4369432,31633,355,6.22552860869577
103,aut,3. čtvrtletí,4369432,31633,2299,6.18846383147458
1567,aut,Čína,4369432,31633,34989,6.18617312242477
229,aut,2012,4369432,31633,5116,6.18286195567732
267,aut,2009,4369432,31633,6007,6.13957392599497
14,aut,cestování,4369432,31633,315,6.13906293357499
24,aut,1.pololetí,4369432,31633,562,5.89874374400444
23,aut,ručení,4369432,31633,542,5.8615591662824
197,aut,2016,4369432,31633,4728,5.75537150022656
169,aut,březen,4369432,31633,4107,5.68390231432163
128,aut,zóny,4369432,31633,3268,5.41019010058017
482,aut,mzdy,4369432,31633,12558,5.30165133895691
180,aut,2017,4369432,31633,4693,5.29793413189404
107,aut,2018,4369432,31633,2791,5.29551917326471
161,aut,červen,4369432,31633,4211,5.28111030084907
14,aut,Mošnov,4369432,31633,375,5.156812864203
224,aut,4.čtvrtletí,4369432,31633,6110,5.06397335273617
375,aut,Indie,4369432,31633,10383,4.98876466358846
20,aut,Rychnovsko,4369432,31633,555,4.97761859479054
145,aut,2008,4369432,31633,4097,4.8886240714641
133,aut,2007,4369432,31633,3793,4.84343417577727
633,aut,Švédsko,4369432,31633,18325,4.77138356515372
1038,aut,zaměstnanost,4369432,31633,30503,4.70044962179602
74,aut,Kolín,4369432,31633,2195,4.65673794278012
21,aut,Uber,4369432,31633,628,4.6189605670608
26,aut,Škoda,4369432,31633,789,4.55177669979895
36,aut,pokuta,4369432,31633,1125,4.420125312174
21,aut,čtvrtletí,4369432,31633,659,4.40168017619755
32,aut,Trutnovsko,4369432,31633,1006,4.39376273575944
15,aut,Brusel,4369432,31633,477,4.34367660394457
11,aut,McLaren,4369432,31633,355,4.28005091847834
12,aut,věřitelé,4369432,31633,393,4.21767682459351
107,aut,2006,4369432,31633,3682,4.01406681493259
10,aut,ČVUT,4369432,31633,348,3.96922172429418
332,aut,EK,4369432,31633,11801,3.88600966984198
10,aut,Tachov,4369432,31633,379,3.6445624275841
18,aut,EIB,4369432,31633,693,3.58776405208928
48,aut,autobusy,4369432,31633,1894,3.50062722717053
243,aut,stávka,4369432,31633,9984,3.36191171768042
725,aut,personální,4369432,31633,29940,3.34480508029199
470,aut,PROTEXT,4369432,31633,20074,3.2340634912103
1477,aut,Francie,4369432,31633,63484,3.2136665764607
374,aut,Švýcarsko,4369432,31633,16521,3.12694235131249
177,aut,ovzduší,4369432,31633,7836,3.12006356980123
106,aut,clo,4369432,31633,4898,2.98931504625896
520,aut,zajímavosti,4369432,31633,24393,2.94457575217593
200,aut,elektronika,4369432,31633,9517,2.90278272576311
5157,aut,USA,4369432,31633,245454,2.90209497437418
83,aut,prosinec,4369432,31633,4087,2.8051627179964
19,aut,Detroit,4369432,31633,937,2.80090651451794
873,aut,Itálie,4369432,31633,43171,2.79323026273996
251,aut,M. Boleslav,4369432,31633,12416,2.79239351782899
6108,aut,HEADLINE,4369432,31633,321682,2.62274985532672
40,aut,Česká pošta,4369432,31633,2183,2.5309925058257
10,aut,Škoda Transportation,4369432,31633,559,2.47100028632267
32,aut,Katar,4369432,31633,1795,2.46246535497159
28,aut,exekuce,4369432,31633,1579,2.44940446368097
29,aut,WTO,4369432,31633,1646,2.43362002682727
14,aut,Ostrov,4369432,31633,806,2.39926156833266
113,aut,Mexiko,4369432,31633,6517,2.39505409062673
29,aut,Google,4369432,31633,1683,2.38011798226838
10,aut,Slavkov,4369432,31633,590,2.34116806788877
158,aut,ÚOHS,4369432,31633,9468,2.30506640566742
163,aut,průmysl,4369432,31633,9823,2.29207098736499
127,aut,investice,4369432,31633,7738,2.26704217274367
536,aut,TISK,4369432,31633,33288,2.22413779677104
94,aut,soutěž,4369432,31633,5883,2.20705730146373
14,aut,'Moody''s',4369432,31633,882,2.19252247627678
94,aut,krádež,4369432,31633,5981,2.17089418232923
254,aut,stroje,4369432,31633,16273,2.15600962732017
78,aut,brexit,4369432,31633,5195,2.07392790152533
75,aut,aukce,4369432,31633,5105,2.02931806080466
16,aut,fúze,4369432,31633,1090,2.02758041842844
130,aut,styl,4369432,31633,9239,1.94358253931236
22,aut,Sarkozy,4369432,31633,1592,1.9088166784671
400,aut,automobilová,4369432,31633,29573,1.86831117580817
194,aut,korupce,4369432,31633,14477,1.85100571285866
54,aut,Merkelová,4369432,31633,4060,1.8371826266733
16,aut,Lucembursko,4369432,31633,1203,1.83712606491022
12,aut,tramvaje,4369432,31633,917,1.80757578196865
82,aut,průzkum,4369432,31633,6350,1.78371198621195
111,aut,zemětřesení,4369432,31633,8740,1.75426884171665
46,aut,pošta,4369432,31633,3662,1.73509834414258
31,aut,záchranná,4369432,31633,2474,1.7307988666809
11,aut,strážníci,4369432,31633,886,1.71491882173794
90,aut,kontrola,4369432,31633,7302,1.70249280203908
10,aut,MSV,4369432,31633,820,1.68449897567607
10,aut,Dvůr Králové n.L.,4369432,31633,822,1.68040043802235
10,aut,Svitavy,4369432,31633,825,1.674289890975
29,aut,ČOI,4369432,31633,2419,1.65594814557986
14,aut,design,4369432,31633,1170,1.6528246359625
188,aut,muzea,4369432,31633,15883,1.6349704847335
14,aut,Siemens,4369432,31633,1184,1.63328110141564
343,aut,OPRAVA,4369432,31633,29494,1.60636801348969
675,aut,FLEŠ,4369432,31633,58134,1.60382939938195
28,aut,insolvence,4369432,31633,2417,1.60016948620283
190,aut,MHD,4369432,31633,16521,1.58855360093415
383,aut,GRAFIKA,4369432,31633,33509,1.57878106867058
86,aut,Brazílie,4369432,31633,7845,1.51422393581486
31,aut,Paříž,4369432,31633,2839,1.50827629312031
34,aut,rating,4369432,31633,3182,1.47592179264138
166,aut,Nizozemsko,4369432,31633,15692,1.46121590982046
929,aut,Slovensko,4369432,31633,88116,1.45628220719337
17,aut,taxi,4369432,31633,1630,1.44060832643708
13,aut,Bratislava,4369432,31633,1253,1.43310128337645
31,aut,Lesy ČR,4369432,31633,2996,1.42923778243276
13,aut,zpronevěra,4369432,31633,1267,1.41726591007947
129,aut,KALENDÁRIUM,4369432,31633,12679,1.40536557809775
2773,aut,2.VERZE,4369432,31633,273124,1.40240873772747
202,aut,VIDEO,4369432,31633,20571,1.35637747475078
135,aut,služby,4369432,31633,13872,1.34424766873804
36,aut,výbuch,4369432,31633,3712,1.33961233194928
42,aut,předsednictví,4369432,31633,4339,1.33703951883576
15,aut,Golf,4369432,31633,1551,1.33586959386303
128,aut,zbraně,4369432,31633,13600,1.30003685652176
99,aut,Kanada,4369432,31633,10598,1.29031540710873
81,aut,práce,4369432,31633,8824,1.26795582461927
906,aut,Rusko,4369432,31633,98822,1.2663657677534
227,aut,reality,4369432,31633,24883,1.26010786212411
125,aut,katastrofy,4369432,31633,13847,1.24692095765723
14,aut,Přerovsko,4369432,31633,1555,1.24360438847339
10,aut,Frankfurt,4369432,31633,1115,1.23882435879316
1301,aut,vláda,4369432,31633,145207,1.23758303472335
58,aut,hromada,4369432,31633,6647,1.20527713680087
73,aut,bezpečnost,4369432,31633,8370,1.20470858642735
336,aut,zábava,4369432,31633,38675,1.2000340214047
18,aut,V4,4369432,31633,2074,1.19880447834999
99,aut,plyn,4369432,31633,11477,1.19149278422395
186,aut,obchod,4369432,31633,21847,1.17599571460664
47,aut,reklama,4369432,31633,5535,1.17291039787815
62,aut,Rumunsko,4369432,31633,7352,1.16485212082931
133,aut,Maďarsko,4369432,31633,15824,1.16096725409019
531,aut,3.VERZE,4369432,31633,63393,1.15701188457538
1419,aut,EU,4369432,31633,169530,1.15616664786006
1947,aut,FOTO,4369432,31633,238178,1.12914290766816
66,aut,Trump,4369432,31633,8189,1.11326272516289
10,aut,Maroko,4369432,31633,1253,1.10238560259727
13,aut,Zlínsko,4369432,31633,1643,1.09292508099251
14,aut,Dopravní podnik hl.m.Prahy,4369432,31633,1774,1.09008163702149
11,aut,dražba,4369432,31633,1401,1.08452396578145
17,aut,DPH,4369432,31633,2173,1.08062198439597
14233,aut,ČR,4369432,31633,1842055,1.06728021774887
27,aut,sklo,4369432,31633,3516,1.06071693178237
10,aut,CzechInvest,4369432,31633,1306,1.05764866772923
404,aut,PROFIL,4369432,31633,53443,1.0441794447579
248,aut,Španělsko,4369432,31633,32978,1.03875223389376
11,aut,MPO,4369432,31633,1465,1.03714544440943
777,aut,Británie,4369432,31633,103876,1.03321429142656
15,aut,SAE,4369432,31633,2014,1.02876551146056
12,aut,konkurz,4369432,31633,1656,1.00093417395244
269,bns,1Q,4369432,230115,269,18.9880364165743
1814,bns,Attention,4369432,230115,1814,18.9880364165743
364,bns,Board,4369432,230115,364,18.9880364165743
324,bns,CTU,4369432,230115,324,18.9880364165743
1305,bns,February,4369432,230115,1305,18.9880364165743
267,bns,Komercni,4369432,230115,267,18.9880364165743
945,bns,Q2,4369432,230115,945,18.9880364165743
878,bns,Q4,4369432,230115,878,18.9880364165743
276,bns,building material,4369432,230115,276,18.9880364165743
367,bns,dividend,4369432,230115,367,18.9880364165743
445,bns,electrical,4369432,230115,445,18.9880364165743
7410,bns,exchange rates,4369432,230115,7410,18.9880364165743
1528,bns,foreign exchange,4369432,230115,1528,18.9880364165743
481,bns,forex,4369432,230115,481,18.9880364165743
1760,bns,indices,4369432,230115,1760,18.9880364165743
1824,bns,mutual,4369432,230115,1824,18.9880364165743
5635,bns,news in brief,4369432,230115,5635,18.9880364165743
383,bns,output,4369432,230115,383,18.9880364165743
801,bns,producer,4369432,230115,801,18.9880364165743
11848,bns,rates,4369432,230115,11849,18.9864339153998
10543,bns,morning,4369432,230115,10544,18.9862355785227
5833,bns,trading,4369432,230115,5834,18.9847816965852
10531,bns,exchange rate,4369432,230115,10533,18.984430979108
3984,bns,Q3,4369432,230115,3985,18.98327153918
2306,bns,exchange,4369432,230115,2307,18.979805798275
20400,bns,exchanges,4369432,230115,20410,18.9787331160273
12063,bns,rate,4369432,230115,12069,18.9785966768693
3868,bns,inflation,4369432,230115,3870,18.9782234778577
3722,bns,Q1,4369432,230115,3724,18.977838760067
5431,bns,Business,4369432,230115,5434,18.977553510934
1397,bns,April,4369432,230115,1398,18.9744541301533
1295,bns,October,4369432,230115,1296,18.9733851539072
4854,bns,H1,4369432,230115,4858,18.9724019691338
2980,bns,engineering,4369432,230115,2984,18.9625832846486
9189,bns,close,4369432,230115,9202,18.9612113270921
1376,bns,January,4369432,230115,1378,18.9604775828783
1291,bns,June,4369432,230115,1293,18.9586659039423
1250,bns,March,4369432,230115,1252,18.9577040900303
11552,bns,shares,4369432,230115,11571,18.9568573748394
1113,bns,balance,4369432,230115,1115,18.953977158428
443,bns,harvest,4369432,230115,444,18.9452705687892
403,bns,mortgage,4369432,230115,404,18.9410363264343
804,bns,production,4369432,230115,806,18.9409197009004
4845,bns,CS,4369432,230115,4858,18.9372244623925
4439,bns,prices,4369432,230115,4453,18.9283390193518
1473,bns,summary,4369432,230115,1478,18.9238008400636
505,bns,FinMin,4369432,230115,507,18.913132919862
2337,bns,GDP,4369432,230115,2347,18.9071329806281
29087,bns,business,4369432,230115,29219,18.9022559036551
394,bns,PBB,4369432,230115,396,18.8921372427532
550,bns,version,4369432,230115,553,18.8850271774247
309,bns,open,4369432,230115,311,18.8659268576253
718,bns,Ceske drahy,4369432,230115,723,18.8567221951596
279,bns,Letiste Praha,4369432,230115,281,18.8528902499083
278,bns,intervention,4369432,230115,280,18.8524075850274
6009,bns,CSOB,4369432,230115,6053,18.8500100490988
270,bns,Ceska,4369432,230115,272,18.8484185017466
267,bns,claims,4369432,230115,269,18.8468614246295
1440,bns,July,4369432,230115,1451,18.8440885181716
1288,bns,November,4369432,230115,1298,18.841749541254
2563,bns,steel,4369432,230115,2583,18.8410132929462
16256,bns,currency,4369432,230115,16395,18.8270521493036
1254,bns,August,4369432,230115,1265,18.8229230564302
845,bns,forecast,4369432,230115,853,18.8099540117295
1255,bns,September,4369432,230115,1269,18.7785545333339
13220,bns,CNB,4369432,230115,13373,18.7707949919324
1457,bns,investment,4369432,230115,1476,18.7436104735425
751,bns,toll,4369432,230115,761,18.7385221404038
1167,bns,December,4369432,230115,1183,18.7312244278463
735,bns,transfers,4369432,230115,746,18.7080519653916
513,bns,direct,4369432,230115,521,18.6964734773563
767,bns,Ceska sporitelna,4369432,230115,779,18.6955377811457
494,bns,ratings,4369432,230115,502,18.6854382266688
2263,bns,schedule,4369432,230115,2300,18.6825767003077
731,bns,building,4369432,230115,743,18.6813655726996
2806,bns,machinery,4369432,230115,2853,18.6752296477068
355,bns,loans,4369432,230115,361,18.6724457836119
320,bns,milk,4369432,230115,326,18.6385633536926
1318,bns,Skoda Auto,4369432,230115,1344,18.6207083311346
633,bns,bankruptcy,4369432,230115,646,18.6059242286247
25978,bns,banks,4369432,230115,26522,18.5985676053755
510,bns,payments,4369432,230115,521,18.5871373751495
3222,bns,events,4369432,230115,3296,18.561727346542
1790,bns,estimates,4369432,230115,1835,18.5223897469581
12980,bns,foreign,4369432,230115,13316,18.5089150410885
1730,bns,board,4369432,230115,1776,18.4962291670459
1236,bns,sales,4369432,230115,1269,18.4942576917934
1120,bns,textile,4369432,230115,1150,18.4926963361419
853,bns,wood,4369432,230115,876,18.489492081436
469,bns,investments,4369432,230115,482,18.4759109530568
3110,bns,petrol,4369432,230115,3210,18.3965088023508
670,bns,Komercni banka,4369432,230115,693,18.3578418457501
697,bns,electronics,4369432,230115,722,18.3305559312359
744,bns,reserves,4369432,230115,771,18.3230857249433
3976,bns,chemical,4369432,230115,4132,18.271159920692
4022,bns,food,4369432,230115,4196,18.2006392915782
432,bns,ERU,4369432,230115,452,18.147857814071
385,bns,Lesy CR,4369432,230115,403,18.1399355344445
4036,bns,CEZ,4369432,230115,4229,18.1214743384474
958,bns,CSA,4369432,230115,1005,18.1000386936101
887,bns,beer,4369432,230115,932,18.071232083156
